loan_id,application_id,user_id,disbursement_date,disbursement_amount,loan_status,due_date,loan_amount,loan_term,offer_age,max_offer,last_payment_date,FPD0,FPD3,FPD7,FPD15,FPD30,total_to_repay,days_late_last_payment,previous_loan_maturity,previous_loan_amount_national_currency,declared_revenue_national_currency,users_with_same_android_id,previous_loans,client_type,professional_status,professional_category,professional_subcategory,gender,age_year,education,marital_status,state,salary_date,requested_amount,apollo_cb_score,acquisition_channel,score_internal,TS_credit_insight
2655059,10599866,8090885,27/10/2020 00:00,900,unpaid,26/11/2020 00:00,1000,30,0,1000,,,,,,,1020,-1,30,1000,10000,1,2,returning,Work in the private sector,Other,--,Male,1994,Graduate,Single,Jharkhand,10,5000,"""620-629""",Organic,,
2391984,9747685,8225799,03/09/2020 00:00,675,unpaid,18/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,20000,1,0,new,Work in the private sector,Agency/Contract workers,Corporate services,Male,1997,Graduate,Single,Uttar Pradesh,15,,"""670-679""",Organic,,
2454756,9963535,8570472,18/09/2020 00:00,675,unpaid,05/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,20000,1,0,new,Work in the private sector,Professionals,Other,Female,1977,Graduate,Married,Bihar,5,63333,"""630-639""",Organic,0.430046,
2386541,9730512,8110124,02/09/2020 00:00,900,unpaid,02/10/2020 00:00,1000,30,1,1000,,1,1,1,1,1,1020,-1,15,750,25000,1,1,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1995,Graduate,Single,West Bengal,0,,,Facebook,,
2478073,10038578,8644945,23/09/2020 00:00,675,unpaid,08/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,22000,1,0,new,Self-employed,Agency/Contract workers,Other,Male,1989,Graduate,Single,Kerala,0,6000,,Organic,0.288543,686
2441672,9919913,8622987,15/09/2020 00:00,675,unpaid,30/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,150000,1,0,new,Self-employed,Professionals,"Science, Engineering",Male,1993,Graduate,Single,Maharashtra,0,10000,"""730-739""",Organic,0.324746,
2350117,9605371,8258368,26/08/2020 00:00,450,unpaid,10/09/2020 00:00,500,15,1,750,,1,1,1,1,1,500,,,,20000,1,0,new,Work in the private sector,Professionals,Other,Female,1993,Post-?graduate,Single,Telangana,30,,"""700-709""",Facebook,,545
2568043,10304678,8446332,09/10/2020 00:00,900,unpaid,09/11/2020 00:00,1000,30,0,1000,,1,,,,,1020,1,15,1000,15000,1,2,returning,Work in the private sector,Other,--,Male,1982,Graduate,Married,Andhra Pradesh,7,5000,"""720-729""",Organic,,
2665928,10629952,9382846,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,50000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1993,Secondary,Single,Bihar,0,20000,"""650-659""",Organic,0.435543,
2629418,10354316,9083932,21/10/2020 00:00,675,unpaid,05/11/2020 00:00,750,15,1,750,,1,1,,,,760,,,,25000,1,0,new,Work in the private sector,Other,--,Male,1981,Graduate,Married,Maharashtra,15,10000,"""710-719""",Organic,0.26168,678
2660548,10619772,8546593,28/10/2020 00:00,900,unpaid,27/11/2020 00:00,1000,30,0,1000,,,,,,,1020,0,30,1000,20000,1,2,returning,Self-employed,Professionals,"Banking, Insurance",Male,1998,Post-?graduate,Single,Andhra Pradesh,0,10000,"""670-679""",Organic,,
2665925,10637452,8224905,29/10/2020 00:00,900,unpaid,30/11/2020 00:00,1000,30,1,1000,,,,,,,1020,-13,15,750,25000,2,2,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1976,Graduate,Married,Uttar Pradesh,0,25000,"""690-699""",Organic,,
2422326,9851473,8543785,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,55000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Other,Male,1985,Graduate,Single,Maharashtra,2,100000,"""740-749""",Facebook,0.308946,507
2629404,10341277,8215033,21/10/2020 00:00,675,unpaid,05/11/2020 00:00,750,15,1,750,,1,1,,,,760,,,,30000,1,0,new,Work in the private sector,Other,--,Male,1997,Primary,Single,Uttar Pradesh,5,10000,,Organic,0.572854,
2660545,10617679,8544510,28/10/2020 00:00,900,unpaid,27/11/2020 00:00,1000,30,1,1000,,,,,,,1020,-5,15,750,37000,1,1,returning,Work in the private sector,Professionals,"Science, Engineering",Male,1984,Post-?graduate,Married,Goa,12,20000,"""710-719""",Organic,,567
2482485,9856222,8549085,24/09/2020 00:00,675,unpaid,09/10/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,22000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1994,Secondary,Married,West Bengal,0,5000,"""770-779""",Organic,0.208783,505
2397022,9764452,8454489,04/09/2020 00:00,675,unpaid,21/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,25000,1,0,new,Work in the private sector,Professionals,Other,Male,1983,Graduate,Married,Tamil Nadu,5,,"""750-759""",undisclosed,0.202371,
2665939,10637654,9390341,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,33000,1,0,new,Self-employed,Professionals,"Banking, Insurance",Male,1995,Graduate,Single,Tamil Nadu,0,100000,"""NTC""",Organic,0.376529,558
2298665,9436030,8123461,13/08/2020 00:00,675,unpaid,28/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,80000,1,0,new,Self-employed,Other,--,Male,1994,Secondary,Single,Madhya Pradesh,0,,,Organic,,543
2454791,9964937,8242744,18/09/2020 00:00,900,unpaid,05/10/2020 00:00,1000,15,1,1000,,1,1,1,1,1,1010,0,15,750,20000,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant",Restaurant,Male,1991,Secondary,Married,Maharashtra,5,100,"""680-689""",Organic,,
2624423,10482069,9222460,20/10/2020 00:00,675,unpaid,04/11/2020 00:00,750,15,1,750,,1,1,,,,760,,,,15000,1,0,new,Work in the private sector,Other,--,Male,1976,Secondary,Married,Maharashtra,5,10000,"""720-729""",Organic,0.379382,
2446104,9934885,8155466,16/09/2020 00:00,675,unpaid,01/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,18000,1,0,new,Self-employed,Agriculture,Other,Female,1995,Graduate,Married,Gujarat,0,2000,"""640-649""",Organic,0.361601,
2523274,10160707,8906233,01/10/2020 00:00,675,unpaid,16/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,35000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1998,Secondary,Single,Bihar,0,100000,"""670-679""",Organic,0.334355,
2605069,10420018,8056444,16/10/2020 00:00,900,unpaid,02/11/2020 00:00,1000,15,1,1000,,1,1,1,,,1010,-1,15,1000,28000,1,2,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1990,Graduate,Single,Chhattisgarh,0,5000,"""700-709""",Organic,,
2350159,9611077,8225877,26/08/2020 00:00,675,unpaid,10/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,35000,1,0,new,Work in the private sector,Agency/Contract workers,"Marketing, Sales",Male,1987,Secondary,Married,Gujarat,30,,"""740-749""",Organic,,
2665933,10637398,9390099,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,20000,1,0,new,Work in the private sector,Professionals,Teaching,Male,1986,Post-?graduate,Married,Tamil Nadu,29,5000,"""810-819""",Organic,0.215737,557
2624439,10484980,8225082,20/10/2020 00:00,900,unpaid,19/11/2020 00:00,1000,30,0,1000,,,,,,,1020,-10,15,750,40000,1,1,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1993,Primary,Single,Telangana,0,40000,"""670-679""",Organic,,
2426617,9868230,8562562,11/09/2020 00:00,675,unpaid,28/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,29500,1,0,new,Work in the private sector,Professionals,"Information, Technology",Male,1993,Graduate,Single,Karnataka,5,2000,"""650-659""",Organic,0.494494,
2665963,10641409,8672631,29/10/2020 00:00,900,unpaid,13/11/2020 00:00,1000,15,0,1000,,,,,,,1010,-1,15,1000,50000,1,2,returning,Self-employed,Agriculture,Other,Male,1992,Graduate,Single,Andhra Pradesh,0,50000,"""680-689""",Organic,,
2298663,9436022,8123458,13/08/2020 00:00,675,unpaid,28/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,35000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1997,Graduate,Married,Chhattisgarh,25,,,Organic,,
2290543,9378680,8071655,11/08/2020 00:00,675,unpaid,26/08/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,19000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1993,Graduate,Married,West Bengal,15,,,Organic,,554
2509186,10119757,8711772,29/09/2020 00:00,675,unpaid,14/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,45000,3,0,new,Work in the private sector,Professionals,Corporate services,Male,1982,Post-?graduate,Married,Telangana,5,2000,"""640-649""",Organic,0.397455,
2391999,9750368,8088725,03/09/2020 00:00,900,unpaid,18/09/2020 00:00,1000,15,0,1000,,1,1,1,1,1,1010,-1,15,750,25000,2,1,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,2001,Graduate,Single,Andhra Pradesh,0,,"""650-659""",Organic,,
2321738,9509172,8196046,19/08/2020 00:00,675,unpaid,03/09/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,15000,1,0,new,Self-employed,Other,--,Female,1985,Secondary,Married,Bihar,0,,,Organic,,
2660547,10619265,8882092,28/10/2020 00:00,900,unpaid,27/11/2020 00:00,1000,30,1,1000,,,,,,,1020,-1,15,750,30000,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant","Street, Market Sales",Male,1985,Graduate,Married,Delhi,1,10000,"""600-609""",SMS,,
2599263,10387525,8211274,15/10/2020 00:00,675,unpaid,30/10/2020 00:00,750,15,1,750,,1,1,1,,,760,,,,25000,1,0,new,Work in the private sector,Other,--,Male,1996,Graduate,Single,Haryana,7,3000,"""680-689""",Organic,,
2523294,10158092,8903719,01/10/2020 00:00,675,unpaid,16/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,18000,1,0,new,Work in the private sector,Agency/Contract workers,Other,Male,1997,Graduate,Single,Madhya Pradesh,7,1000,"""below 600""",Organic,0.355487,
2391956,9746441,8436600,03/09/2020 00:00,675,unpaid,18/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,25000,1,0,new,Work in the private sector,Agency/Contract workers,"Marketing, Sales",Male,1993,Graduate,Single,Maharashtra,1,,"""660-669""",Facebook,0.334066,
2624399,10481882,8220219,20/10/2020 00:00,900,unpaid,04/11/2020 00:00,1000,15,1,1000,,1,1,,,,1010,-14,15,750,21550,1,1,returning,Work in the private sector,Agency/Contract workers,Other,Male,1990,Graduate,Single,Tamil Nadu,5,3000,"""630-639""",Organic,,
2502837,10083767,8158595,28/09/2020 00:00,900,unpaid,28/10/2020 00:00,1000,30,3,1000,,1,1,1,,,1020,-16,30,1000,23000,1,2,returning,Work in the private sector,Professionals,"Marketing, Sales",Male,1986,Graduate,Single,Maharashtra,21,1200,"""640-649""",Organic,,
2454762,9963481,8671790,18/09/2020 00:00,675,unpaid,05/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,27800,1,0,new,Work in the private sector,Other,--,Female,1996,Graduate,Single,Haryana,5,20000,"""below 600""",Organic,0.535331,533
2593736,10385687,9087431,14/10/2020 00:00,675,unpaid,29/10/2020 00:00,750,15,1,750,,1,1,1,,,760,,,,20000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Restaurant,Male,1992,Graduate,Married,Uttar Pradesh,0,5000,"""650-659""",Organic,,
2446099,9934563,8186171,16/09/2020 00:00,675,unpaid,01/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,35000,1,0,new,Work in the private sector,Other,--,Female,1993,Graduate,Married,Uttar Pradesh,20,5000,"""below 600""",Organic,0.541683,
2514893,10134785,8214975,30/09/2020 00:00,675,unpaid,15/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,25000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1995,Graduate,Single,Rajasthan,0,2000,"""600-609""",Organic,0.561201,
2665942,10637693,9390256,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,25000,1,0,new,Civil/Public servant,Professionals,"Banking, Insurance",Male,1994,Graduate,Single,Uttar Pradesh,15,10000,"""720-729""",Organic,0.414067,
2668207,10638269,9390681,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,27000,1,0,new,Work in the private sector,Professionals,Corporate services,Female,1994,Post-?graduate,Married,Karnataka,1,20000,"""700-709""",Organic,,
2437139,9763794,8051257,14/09/2020 00:00,900,partly_paid,14/10/2020 00:00,1000,30,2,1000,21/10/2020,1,1,1,1,,1020,-26,30,1000,30000,1,3,returning,Work in the private sector,Professionals,"Information, Technology",Male,1977,Graduate,Married,Delhi,1,3000,,Organic,,638
2514905,10147795,8435770,30/09/2020 00:00,675,unpaid,15/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,50000,1,0,new,Work in the private sector,Other,--,Male,1987,Graduate,Married,Maharashtra,8,20000,"""760-769""",Organic,0.237916,613
2454775,9894815,8592797,18/09/2020 00:00,675,unpaid,05/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,20000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1994,Graduate,Single,Maharashtra,12,5000,"""610-619""",Organic,0.458811,
2418244,9836789,8528002,09/09/2020 00:00,675,unpaid,24/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,38000,2,0,new,Work in the private sector,Other,--,Female,1993,Post-?graduate,Married,Delhi,4,5000,"""680-689""",Organic,0.303883,
2446059,9917027,8619531,16/09/2020 00:00,675,unpaid,01/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,16000,1,0,new,Work in the private sector,Other,--,Male,1996,Graduate,Single,Andhra Pradesh,31,20000,,Organic,0.349414,
2422349,9853859,8217645,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,21000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1995,Graduate,Married,Bihar,0,,"""below 600""",Organic,0.493785,
2665944,10397102,9127710,29/10/2020 00:00,675,unpaid,13/11/2020 00:00,750,15,1,750,,,,,,,760,,,,16000,1,0,new,Self-employed,Professionals,"Marketing, Sales",Male,1997,Secondary,Married,Madhya Pradesh,0,25000,"""620-629""",Organic,0.383633,
2454794,9965200,8673438,18/09/2020 00:00,675,partly_paid,05/10/2020 00:00,750,15,1,750,10/11/2020,1,1,1,1,1,760,,,,35000,1,0,new,Self-employed,Agriculture,Other,Male,2000,Secondary,Single,Punjab,0,5000,"""630-639""",Organic,0.629722,
2391939,9742326,8258287,03/09/2020 00:00,675,unpaid,18/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,30000,1,0,new,Self-employed,Agriculture,Other,Male,1986,Graduate,Married,Andhra Pradesh,0,,"""630-639""",Organic,,
2298654,9435936,8123377,13/08/2020 00:00,675,unpaid,28/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,45000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Other,Male,1981,Post-?graduate,Married,Uttar Pradesh,21,,,Organic,,
2386520,9729758,8419339,02/09/2020 00:00,675,unpaid,17/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,17000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant","Street, Market Sales",Male,1987,Secondary,Married,West Bengal,10,,,Organic,0.302526,
2350127,9606266,8168526,26/08/2020 00:00,675,unpaid,10/09/2020 00:00,750,15,1,1000,,1,1,1,1,1,760,-11,15,750,22000,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant",Other,Male,1980,Primary,Married,Andhra Pradesh,5,,"""690-699""",Organic,,
2655063,10600193,8057046,27/10/2020 00:00,900,unpaid,26/11/2020 00:00,1000,30,0,1000,,,,,,,1020,-10,30,1000,25000,1,4,returning,Work in the private sector,Other,--,Male,1991,Graduate,Single,Punjab,5,12000,"""670-679""",Organic,,
2418263,9838385,8202058,09/09/2020 00:00,675,unpaid,24/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,30000,1,0,new,Work in the private sector,Professionals,"Marketing, Sales",Female,1989,Post-?graduate,Single,Karnataka,5,,,Organic,0.237776,648
2318479,9496285,8099726,18/08/2020 00:00,675,unpaid,02/09/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,19000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Other,Male,1997,Secondary,Single,Maharashtra,10,,,Facebook,,
2660543,10617696,8287560,28/10/2020 00:00,900,unpaid,27/11/2020 00:00,1000,30,1,1000,,,,,,,1020,21,15,750,40000,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1986,Graduate,Married,Karnataka,10,25000,"""600-609""",Email,,
2439077,9911260,8228687,14/09/2020 00:00,900,unpaid,14/10/2020 00:00,1000,30,0,1000,,1,1,1,1,,1020,-3,15,750,20000,1,1,returning,Civil/Public servant,Professionals,"Press, Communication",Male,1993,Post-?graduate,Single,Andhra Pradesh,25,10000,"""700-709""",Display,,
2272898,9358122,8055431,06/08/2020 00:00,675,unpaid,21/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,18500,1,0,new,Work in the private sector,Other,--,Male,1992,Graduate,Married,Gujarat,2,,,Organic,,
2562079,10285949,8416670,08/10/2020 00:00,900,unpaid,09/11/2020 00:00,1000,30,0,1000,,1,,,,,1020,-2,15,1000,15000,1,3,returning,Self-employed,Agriculture,Other,Male,1996,Graduate,Single,Uttar Pradesh,0,4000,"""740-749""",Organic,,
